,58,-18,6,6,0
,59,18,6,2,0.001
,60,-18,7,1,0
,61,18,6,0,0
,62,-18,7,1,0
,62,6,0,0,0
,63,-6,1,0,0
,64,6,-1,-1,0
,4,3.41298e-305,2,3,0
,5,10.3585,2,2,7.087
,6,11.0831,3,2,2.053
,7,9.21442,4,2,14.738
,8,9.68179,3,1,12.124
,9,13.7773,1,3,10.575
,10,11.1496,1,4,44.711
,11,9.20788,2,4,21.009
,12,7.8128,5,2,27.707
,13,9.02303,5,1,66.292
,14,9.65936,5,3,53.043
,15,9.84151,4,1,43.39
,16,7.00121,2,5,102.926
,17,11.4173,3,5,69.208
,18,8.72621,5,0,157.295
,19,11.0266,2,6,60.803
,20,5.42703,2,1,136.857
,21,11.6148,0,3,80.915
,22,8.1005,1,5,112.177
,23,6.27441,2,0,74.241
,24,5.30896,5,5,74.145
,25,10.7782,3,0,62.312
,26,6.72115,0,5,36.631
,27,9.69173,1,2,10.901
,28,2.92571,0,2,27.734
,29,-2.18017,0,4,18.576
,30,5.8686,4,0,17.802
,31,3.1745,5,4,10.88
,32,1.93103,1,0,18.071
,33,7.16668,5,6,74.82
,34,6.23482,4,5,92.963
,35,3.02,4,6,24.152
,36,0.468936,3,6,12.721
,37,-0.0379118,3,7,18.465
,38,-4.10594,1,1,77.243
,39,8.27431,6,3,78.427
,40,3.20499,6,2,8.426
,41,3.80166,7,2,21.415
,42,-0.669646,6,4,13.692
,43,4.3554,7,5,68.152
,44,3.22806,6,5,11.814
,45,1.23343,1,6,5487.13
,46,-9.19458,7,4,12.857
,47,4,6,1,124.365
,48,-4,7,3,12.815
,49,4,0,0,7.24
,50,-4,0,1,1.239
,51,4,6,0,0.626
,52,-4,6,7,0.167
,53,4,6,6,0.152
,54,-4,7,7,0.013
,55,4,7,6,0.004
,56,-4,5,7,0.001
,57,4,4,7,0.001
,58,-4,0,6,0.001
,59,4,0,7,0
,60,-4,2,7,0
,61,4,1,7,0
,62,-4,7,0,0
,63,4,7,1,0
,64,-4,-1,-1,0
,64,4,-1,-1,0
,4,-4,2,3,0
,5,8.18171,4,2,3.685
,6,10.0843,5,5,2.096
,7,7.75298,4,5,5.704
,8,11.7261,5,4,5.96
,9,10.0297,2,4,39.705
,10,10.2778,2,2,26.919
,11,7.3055,2,5,22.324
,12,9.93531,3,2,48.825
,13,9.42378,3,1,69.606
,14,7.88382,4,1,161.961
,15,9.09223,1,3,54.621
,16,9.86351,2,0,78.134
,17,9.19647,5,3,38.907
,18,8.15913,5,2,50.947
,19,6.81377,5,1,127.434
,20,13.0298,3,5,93.015
,21,5.27205,6,3,230.282
,22,9.69914,6,4,113.235
,23,1.55852,3,0,225.597
,24,17.8038,4,0,82.099
,25,1.63896,5,0,40.604
,26,16.9958,6,0,13.464
,27,-1.58951,3,6,186.062
,28,12.6835,4,6,19.745
,29,5.27729,6,2,147.89
,30,17.0643,7,3,23.098
,31,-6.14099,7,5,168.949
,32,16.9516,7,2,2.469
,33,-4.27639,7,4,31.399
,34,10.2808,2,1,11.801
,35,-11.1265,6,5,159.884
,36,16.6257,7,6,3.324
,37,-13.7833,4,7,48.358
,38,18.9187,0,3,7.116
,39,-6.65181,1,2,40.99
,40,9.02216,0,2,3.093
,41,-8.31604,6,1,47.068
,42,-4.97946,6,6,13.928
,43,5.93671,5,6,5.613
,44,-8.81038,1,5,31.458
,45,1.73369,0,6,66.697
,46,-9.54252,5,7,314.662
,47,8,7,7,136.835
,48,-10,6,7,93.636
,49,10,2,6,32.284
,50,-10,3,7,4.55
,51,10,2,7,0.844
,52,-10,7,0,0.368
,53,10,7,1,0.073
,54,-10,0,5,0.067
,55,10,1,4,0.025
,56,-10,0,4,0.005
,57,10,0,1,0.004
,58,-10,1,1,0.001
,59,10,0,0,0
,60,-10,1,0,0
,61,10,0,0,0
,61,-18,1,7,0
,62,18,1,6,0.001
,63,-18,0,7,0
,64,18,-1,-1,0
4,-1-1,23,3.64428e-304,0
4,-1-1,23,5.69076e-306,0
5,-1-1,22,10.0572,8.762
6,-1-1,32,9.48672,6.398
7,-1-1,42,13.1604,22.126
8,-1-1,31,11.1496,34.082
9,-1-1,13,13.7773,3.028
10,-1-1,14,11.1496,5.545
11,-1-1,24,10.8019,3.898
12,-1-1,52,7.8128,4.697
13,-1-1,41,10.4966,4.762
